"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C8,C11,C12,C7,C13";"R_0402_1005Metric";6;"0.1uF";;;
2;"U1";"QFN40P700X700X90-57N-D";1;"ESP32-S3R8";;;
3;"R10,R4,R3,R2,R5,R1";"R_0201_0603Metric";6;"0";;;
4;"C18";"R_0201_0603Metric";1;"2.7pF";;;
5;"SW1,SW2";"SW_SPST_PTS810";2;"SW_SPST";;;
6;"C10";"R_0603_1608Metric";1;"10uF";;;
7;"U3";"SOT-666";1;"USBLC6-2P6";;;
8;"C2,C22,C9,C5";"R_0402_1005Metric";4;"1uF";;;
9;"R9,R8";"R_0402_1005Metric";2;"5.1k";;;
10;"D5";"LEDC1608X35N";1;"LTST-C190GKT";;;
11;"C4,C3";"R_0201_0603Metric";2;"12pF";;;
12;"L2";"L_0201_0603Metric";1;"2.4nH";;;
13;"ANT1";"2450AT18D0100E";1;"2450AT18D0100E";;;
14;"IC1";"SON127P600X500X80-9N-D";1;"W25Q128JVPIQ";;;
15;"D1,D4";"Nexperia_CFP3_SOD-123W";2;"PMEG6020AELR";;;
16;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0";;;
17;"U5,U4";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias";2;"TLV76733DRVx";;;
18;"C21,C20";"R_0201_0603Metric";2;"NC";;;
19;"Q1";"SOT-23";1;"BC817-25L";;;
20;"L1";"L_0402_1005Metric";1;"2nH";;;
21;"R6";"R_0402_1005Metric";1;"120";;;
22;"C14,C16";"R_0603_1608Metric";2;"1uF";;;
23;"D2";"DIONC1608X55N";1;"CG0603MLU-24E";;;
24;"C6";"R_0201_0603Metric";1;"10nF";;;
25;"LS1";"XDCR_CMT-0525-75-SMT-TR";1;"CMT-0525-75-SMT-TR";;;
26;"C17,C15";"R_0402_1005Metric";2;"2.2uF";;;
27;"C19";"R_0201_0603Metric";1;"2.4pF";;;
28;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"ECS-400-10-37B2-CKM-TR";;;
29;"R7";"R_0402_1005Metric";1;"22";;;
30;"R13";"R_0201_0603Metric";1;"100K";;;
31;"U2";"SK6805-EC15";1;"4492";;;
32;"R12";"R_0402_1005Metric";1;"422";;;
33;"R11";"R_0402_1005Metric";1;"10K";;;
34;"J3,J2";"PinHeader_2x09_P2.54mm_Vertical";2;"Conn_02x09_Odd_Even";;;
